Player,Player ID,Team,Games Played,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,AST,TO,W,L,W_PCT,MIN,OREB,DREB,REB,STL,BLK,AGE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,PTS_RANK,HEIGHT,WEIGHT,EXP,SCHOOL,POSITION,PPG,PER
Olivier Sarr,1630846,OKC,15,34,11,19,0.579,2,6,0.333,10,15,0.667,2,3,8,7,0.533,98.20166666666667,10,26,36,0,7,25.0,423,93,280,479,482,505,56,440,467,302,414,407,424,416,430,433,532,539,343,474,82.0,240,2,Kentucky,C,2.2666666666666666,0.5651635240406646
Olivier-Maxence Prosper,1641765,DAL,40,121,40,104,0.385,13,45,0.289,28,41,0.683,22,8,24,16,0.6,336.21166666666664,25,54,79,7,4,21.0,257,184,170,402,399,390,475,346,348,400,317,311,408,308,368,361,405,417,410,393,79.0,230,-1,Marquette,F,3.025,0.27809861842985817
Omer Yurtseven,1630209,UTA,48,222,99,184,0.538,5,24,0.208,19,28,0.679,29,37,17,31,0.354,545.1016666666667,72,136,208,8,18,25.0,331,406,421,352,304,330,89,408,396,456,361,353,414,114,242,215,376,407,228,331,83.0,275,2,Georgetown,C,4.625,0.48339606373123056
Onuralp Bitim,1641931,CHI,23,80,32,84,0.381,12,44,0.273,4,5,0.8,13,10,11,12,0.478,267.9916666666667,6,26,32,3,2,25.0,392,138,336,422,422,405,480,357,350,418,459,469,212,452,430,443,444,471,451,427,78.0,215,-1,Bursaspor,F,3.4782608695652173,0.042911782082776205
Onyeka Okongwu,1630168,ATL,55,561,223,365,0.611,23,69,0.333,92,116,0.793,74,45,23,32,0.418,1404.7366666666667,145,231,376,26,60,23.0,270,425,372,202,188,234,38,307,310,302,156,157,230,32,123,81,272,287,45,197,82.0,240,3,Southern California,F-C,10.2,0.44741481796113625
Orlando Robinson,1631115,MIA,36,99,36,72,0.5,8,15,0.533,19,25,0.76,34,18,20,16,0.556,303.69,28,56,84,7,8,23.0,297,184,259,413,407,421,139,390,420,8,361,364,288,292,362,356,363,417,331,406,82.0,235,1,Fresno State,C,2.75,0.4774605683427179
Oscar Tshiebwe,1631131,IND,8,26,10,20,0.5,0,0,0.0,6,8,0.75,2,0,2,6,0.25,41.916666666666664,8,8,16,2,1,24.0,511,80,474,526,487,501,139,498,541,498,437,449,307,436,495,483,532,488,478,491,80.0,255,-1,Kentucky,F-C,3.25,0.48906560636182905
Oshae Brissett,1629052,BOS,55,201,68,153,0.444,15,55,0.273,50,83,0.602,44,20,46,9,0.836,630.165,61,99,160,19,8,25.0,52,118,15,329,356,352,310,334,327,418,243,210,467,146,301,261,338,325,331,342,79.0,210,4,Syracuse,F-G,3.6545454545454548,0.36419033110375854
Otto Porter Jr.,203490,TOR,15,39,14,33,0.424,8,23,0.348,3,3,1.0,8,2,6,9,0.4,174.07333333333332,6,23,29,5,5,30.0,458,118,385,444,473,471,391,390,398,269,470,487,1,452,442,452,466,444,387,468,,,-1,,,2.6,0.2671287962927502
Ousmane Dieng,1631172,OKC,33,133,49,116,0.422,21,70,0.3,14,16,0.875,37,19,21,12,0.636,364.9533333333333,10,41,51,8,5,20.0,289,138,108,396,386,376,398,316,307,371,387,404,72,416,400,403,349,407,387,387,81.0,185,1,New Zealand Breakers,F,4.03030303030303,0.19317538315401056
