Player,Player ID,Team,Games Played,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,AST,TO,W,L,W_PCT,MIN,OREB,DREB,REB,STL,BLK,AGE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,PTS_RANK,HEIGHT,WEIGHT,EXP,SCHOOL,POSITION,PPG,PER
A.J. Lawson,1630639,DAL,42,136,54,121,0.446,13,50,0.26,15,23,0.652,20,14,27,15,0.643,310.9,14,36,50,10,3,23.0,231,168,105,410,378,373,303,346,338,428,382,374,445,389,407,408,414,386,428,385,78.0,179,1,South Carolina,G,3.238095238095238,0.13026696687037634
AJ Green,1631260,MIL,56,252,83,196,0.423,69,169,0.408,17,19,0.895,30,12,35,21,0.625,614.2816666666666,9,55,64,9,4,24.0,155,253,128,333,327,320,393,191,205,72,372,388,54,424,366,381,373,398,410,313,76.0,190,1,Northern Iowa,G,4.5,0.13674508708003116
AJ Griffin,1631100,ATL,20,48,18,62,0.29,10,39,0.256,2,2,1.0,5,8,8,12,0.4,170.73,2,16,18,1,2,20.0,423,138,385,445,447,434,541,372,363,429,487,493,1,507,463,475,488,509,451,450,78.0,220,1,Duke,F,2.4,-0.10542962572482868
Aaron Gordon,203932,DEN,73,1013,398,716,0.556,40,138,0.29,177,269,0.658,259,105,49,24,0.671,2296.81,174,297,471,56,45,28.0,29,282,75,55,78,114,77,258,238,399,69,54,440,21,70,46,83,119,79,93,80.0,235,9,Arizona,F,13.876712328767123,0.3679015678266814
Aaron Holiday,1628988,HOU,78,514,186,417,0.446,84,217,0.387,58,63,0.921,140,53,39,39,0.5,1269.2966666666666,23,100,123,42,6,27.0,117,497,300,217,216,209,305,152,167,129,217,247,37,318,299,310,157,194,370,216,72.0,185,5,UCLA,G,6.589743589743589,0.17529392918387873
Aaron Nesmith,1630174,IND,72,877,315,635,0.496,140,334,0.419,107,137,0.781,108,64,41,31,0.569,1994.655,63,212,275,65,49,24.0,97,406,227,105,132,133,158,70,91,44,131,132,256,138,144,142,208,87,61,117,78.0,215,3,Vanderbilt,G-F,12.180555555555555,0.21231741830040785
Aaron Wiggins,1630598,OKC,78,542,212,377,0.562,62,126,0.492,56,71,0.789,86,56,55,23,0.705,1227.9383333333333,60,126,186,56,19,25.0,14,272,50,224,199,224,71,201,248,15,223,228,241,153,255,238,248,119,219,202,77.0,190,2,Maryland,G,6.948717948717949,0.2691503237811888
Adam Flagler,1641745,OKC,2,3,1,7,0.143,1,6,0.167,0,0,0.0,4,0,2,0,1.0,14.016666666666667,0,0,0,0,0,24.0,511,1,1,554,550,541,558,467,467,473,531,538,531,545,557,561,507,539,520,552,75.0,180,-1,Baylor,G,1.5,-0.1070154577883472
Adama Sanogo,1641766,CHI,9,36,14,27,0.519,0,0,0.0,8,12,0.667,0,5,3,6,0.333,65.76166666666667,19,17,36,1,0,22.0,489,80,432,502,473,482,114,498,541,498,425,426,424,345,458,433,553,509,520,472,81.0,245,-1,Connecticut,F,4.0,0.5930506627467876
Admiral Schofield,1629678,ORL,23,26,10,26,0.385,6,16,0.375,0,2,0.0,7,5,15,8,0.652,84.35833333333333,3,14,17,1,0,27.0,347,110,98,485,487,484,475,402,418,168,531,493,531,487,471,479,473,509,520,491,77.0,241,3,Tennessee,F,1.1304347826086956,0.2074483848661464
Al Horford,201143,BOS,65,562,214,419,0.511,108,258,0.419,26,30,0.867,168,48,51,14,0.785,1739.7966666666666,82,331,413,38,62,37.0,26,162,22,153,197,208,124,109,126,46,323,348,83,94,55,63,135,223,38,195,81.0,240,16,Florida,C-F,8.646153846153846,0.45522561065565137
Alec Burks,202692,NYK,66,689,210,569,0.369,124,330,0.376,145,167,0.868,88,48,18,48,0.273,1211.545,24,126,150,28,12,32.0,316,539,465,227,201,156,497,92,98,165,94,106,80,315,255,269,244,274,286,165,77.0,214,12,Colorado,G,10.43939393939394,0.06685678204276357
Aleksej Pokusevski,1630197,CHA,28,146,49,121,0.405,18,55,0.327,30,41,0.732,35,19,14,14,0.5,405.3833333333333,17,72,89,15,13,22.0,361,162,300,383,386,373,435,327,327,332,308,311,349,366,336,349,359,348,277,377,84.0,210,3,Olympiacos,F,5.214285714285714,0.30835012128438105
Alex Caruso,1627936,CHI,71,715,253,541,0.468,136,333,0.408,73,96,0.76,247,102,34,37,0.479,2040.3433333333332,62,211,273,120,70,30.0,165,475,335,97,165,166,227,77,95,71,186,188,287,140,146,143,90,3,30,159,77.0,186,6,Texas A&M,G,10.070422535211268,0.3080363925679175
Alex Fudge,1641788,DAL,6,15,6,15,0.4,1,5,0.2,2,2,1.0,0,2,1,5,0.167,40.21666666666667,4,1,5,3,0,21.0,538,64,530,529,515,520,442,467,478,460,487,493,1,473,549,527,553,471,520,516,80.0,200,-1,Florida,F,2.5,-0.03729796933278077
Alex Len,203458,SAC,48,120,50,81,0.617,0,3,0.0,20,34,0.588,50,27,24,24,0.5,444.245,46,82,128,11,33,30.0,257,282,300,372,383,409,33,498,496,498,355,334,473,200,323,300,324,377,137,394,84.0,250,10,Maryland,C,2.5,0.5481209692849667
Alondes Williams,1631214,MIA,7,5,2,8,0.25,0,4,0.0,1,1,1.0,0,2,5,2,0.714,15.595,0,1,1,0,1,24.0,466,28,46,551,541,538,547,498,487,498,509,535,1,545,549,555,553,539,478,545,76.0,210,1,Wake Forest,G,0.7142857142857143,-0.48092337287592174
Alperen Sengun,1630578,HOU,63,1331,527,982,0.537,33,111,0.297,244,352,0.693,312,162,29,34,0.46,2045.635,183,406,589,76,46,21.0,213,446,351,94,36,56,92,271,262,379,43,28,396,19,35,25,57,42,77,52,83.0,243,2,Besiktas,C,21.126984126984127,0.4558486729059681
Amari Bailey,1641735,CHA,10,23,8,24,0.333,1,8,0.125,6,7,0.857,7,4,1,9,0.1,64.63333333333334,6,3,9,3,0,20.0,538,118,554,504,505,488,521,467,450,484,437,455,98,452,533,506,473,471,520,498,75.0,185,-1,UCLA,G,2.3,0.07735946364105208
Amen Thompson,1641708,HOU,62,592,239,446,0.536,8,58,0.138,106,155,0.684,163,90,30,32,0.484,1388.5316666666668,148,261,409,78,38,21.0,201,425,331,203,175,197,94,390,324,482,133,116,407,30,93,67,140,36,108,186,79.0,200,-1,Overtime Elite,G-F,9.548387096774194,0.48360438304731973
Amir Coffey,1629599,LAC,70,463,166,352,0.472,70,184,0.38,61,71,0.859,76,33,46,24,0.657,1460.5966666666666,29,119,148,41,14,26.0,52,282,92,194,232,240,215,186,195,153,210,228,95,287,268,274,269,207,267,233,79.0,210,4,Minnesota,G-F,6.614285714285714,0.15746989244121695
Andre Drummond,203083,CHI,79,663,267,480,0.556,0,3,0.0,129,218,0.592,37,81,37,42,0.468,1351.2516666666668,265,443,708,73,48,30.0,139,515,346,206,160,184,76,498,496,498,106,69,472,4,25,14,349,56,64,167,83.0,279,11,Connecticut,C,8.39240506329114,0.6889908245564914
Andre Jackson Jr.,1641748,MIL,57,125,50,100,0.5,17,46,0.37,8,11,0.727,50,28,33,24,0.579,572.3283333333334,43,70,113,16,6,22.0,173,282,210,345,383,395,139,331,345,198,425,433,353,214,338,321,324,341,370,392,78.0,209,-1,Connecticut,G,2.192982456140351,0.3442080157951292
Andrew Funk,1641847,CHI,5,0,0,4,0.0,0,3,0.0,0,0,0.0,0,0,3,2,0.6,13.4,0,0,0,1,1,24.0,489,28,170,555,561,554,561,498,496,498,531,538,531,545,557,561,553,509,478,563,77.0,200,-1,Penn State,G,0.0,-0.3731343283582089
Andrew Nembhard,1629614,IND,68,626,260,522,0.498,61,171,0.357,45,56,0.804,280,101,41,27,0.603,1696.685,36,105,141,63,6,24.0,97,344,167,159,161,169,155,203,203,241,254,260,208,249,288,285,72,94,370,178,76.0,191,1,Gonzaga,G-F,9.205882352941176,0.22396614574891627
Andrew Wiggins,203952,GSW,71,939,353,780,0.453,91,254,0.358,142,189,0.751,119,87,38,33,0.535,1920.4483333333333,108,213,321,42,41,29.0,124,437,279,120,105,96,284,136,131,235,99,90,306,62,140,105,184,194,98,106,79.0,197,9,Kansas,F,13.225352112676056,0.1504856938787731
Anfernee Simons,1629014,POR,46,1039,360,837,0.43,156,405,0.385,163,178,0.916,255,126,11,35,0.239,1581.7433333333333,22,145,167,23,5,24.0,392,461,495,177,100,83,375,48,55,136,82,97,41,323,222,256,84,301,387,89,75.0,193,5,Edgewater HS (FL),G,22.58695652173913,0.13624207888764084
Anthony Black,1641710,ORL,69,316,115,247,0.466,37,94,0.394,49,80,0.613,91,56,39,30,0.565,1164.21,33,106,139,35,21,20.0,117,395,236,235,286,282,231,262,274,113,246,215,462,264,284,288,239,239,202,282,79.0,200,-1,Arkansas,G,4.579710144927536,0.1911167229279941
Anthony Davis,203076,LAL,76,1876,713,1283,0.556,29,107,0.271,421,516,0.816,266,159,45,31,0.592,2700.2433333333333,239,722,961,91,178,31.0,66,406,184,12,9,19,78,284,269,422,7,6,184,7,3,4,79,18,4,12,82.0,253,11,Kentucky,F-C,24.68421052631579,0.5590236929264399
Anthony Edwards,1630162,MIN,79,2049,718,1558,0.461,190,532,0.357,423,506,0.836,405,241,54,25,0.684,2770.383333333333,52,378,430,101,42,22.0,18,311,67,8,8,3,252,27,24,238,6,8,131,185,40,51,26,12,90,6,76.0,225,3,Georgia,G,25.936708860759495,0.1956407957984154
Anthony Gill,1630264,WAS,50,189,75,160,0.469,10,41,0.244,29,36,0.806,34,23,9,41,0.18,466.49666666666667,37,57,94,13,11,31.0,412,507,526,368,344,343,224,372,356,443,311,323,203,241,358,344,363,359,298,350,80.0,230,3,Virginia,F,3.78,0.2400874604320145
Armoni Brooks,1629717,BKN,10,42,15,46,0.326,11,32,0.344,1,2,0.5,5,3,3,7,0.3,104.02333333333333,7,11,18,1,1,25.0,489,93,452,476,464,449,527,368,374,282,509,493,494,443,481,475,488,509,478,460,,,-1,,,4.2,0.04325952510654661
Ashton Hagans,1630204,POR,19,80,29,71,0.408,8,25,0.32,14,17,0.824,54,30,3,16,0.158,315.57166666666666,14,31,45,11,9,24.0,489,184,536,408,427,423,428,390,392,344,387,397,165,389,421,415,315,377,319,427,75.0,190,1,Kentucky,G-F,4.2105263157894735,0.29628768953697787
Ausar Thompson,1641709,DET,63,556,232,480,0.483,21,113,0.186,71,119,0.597,120,84,10,53,0.159,1582.805,129,273,402,68,59,21.0,403,555,535,176,185,184,188,316,260,469,192,154,471,44,87,71,181,74,48,200,78.0,205,-1,Overtime Elite,G-F,8.825396825396826,0.3405346836786591
Austin Reaves,1630559,LAL,82,1300,457,940,0.486,154,420,0.367,232,272,0.853,450,174,47,35,0.573,2628.95,57,295,352,66,25,25.0,45,461,222,17,59,64,179,51,48,205,47,53,111,165,73,89,20,82,175,56,77.0,197,2,Oklahoma,G,15.853658536585366,0.3151448296848552
Ayo Dosunmu,1630245,CHI,76,924,360,719,0.501,119,295,0.403,85,105,0.81,242,103,37,39,0.487,2212.4683333333332,54,162,216,68,36,24.0,139,497,329,68,100,112,138,96,111,79,167,173,196,173,203,202,93,74,122,109,77.0,200,2,Illinois,G,12.157894736842104,0.19390108031678044
Bam Adebayo,1628389,MIA,71,1367,530,1017,0.521,15,42,0.357,292,387,0.755,278,162,40,31,0.563,2416.4733333333334,159,578,737,81,66,26.0,110,406,241,39,34,49,113,334,352,238,25,24,299,27,10,11,73,29,36,43,81.0,255,6,Kentucky,C-F,19.253521126760564,0.4477599587277327
Ben Sheppard,1641767,IND,57,252,90,229,0.393,49,156,0.314,23,26,0.885,53,15,32,25,0.561,814.26,15,74,89,33,2,22.0,183,311,246,301,316,296,462,234,219,352,338,359,62,380,334,349,319,250,451,313,78.0,190,-1,Belmont,G,4.421052631578948,0.13632009431876796
Ben Simmons,1627732,BKN,15,92,43,74,0.581,0,0,0.0,6,15,0.4,86,27,7,8,0.467,358.9166666666667,31,88,119,12,9,27.0,440,110,349,398,395,419,55,498,541,498,437,407,523,273,311,317,248,367,319,412,82.0,240,5,Louisiana State,G-F,6.133333333333334,0.7369398653355003
Bennedict Mathurin,1631097,IND,59,856,296,663,0.446,80,214,0.374,184,224,0.821,119,97,33,26,0.559,1538.39,60,174,234,35,14,21.0,173,332,252,179,143,126,302,164,169,179,65,64,172,153,193,186,184,239,267,128,77.0,210,1,Arizona,G-F,14.508474576271187,0.13423124175274148
Bilal Coulibaly,1641731,WAS,63,532,188,432,0.435,64,185,0.346,92,131,0.702,110,87,11,52,0.175,1715.25,56,200,256,57,48,19.0,392,551,529,156,213,204,350,196,193,277,156,143,384,166,161,162,201,115,64,206,80.0,195,-1,Metropolitans 92,G,8.444444444444445,0.19414079580236118
Bismack Biyombo,202687,OKC,40,174,74,131,0.565,0,0,0.0,26,54,0.481,53,42,20,20,0.5,791.4616666666667,62,147,209,11,37,31.0,297,237,300,303,346,368,68,498,541,498,323,268,517,140,221,213,319,377,117,355,80.0,255,12,Baloncesto Fuenlabrada,C,4.35,0.4112643905685051
Blake Wesley,1631104,SAS,61,268,102,215,0.474,12,55,0.218,52,78,0.667,166,55,19,42,0.311,875.925,18,76,94,29,9,21.0,307,515,449,289,300,307,208,357,327,452,232,221,424,353,331,344,136,269,319,307,75.0,185,1,Notre Dame,G,4.39344262295082,0.29739989154322577
Boban Marjanovic,1626246,HOU,14,45,18,34,0.529,0,2,0.0,9,14,0.643,6,5,9,5,0.643,70.91,7,25,32,1,2,35.0,412,64,105,498,447,468,103,498,511,498,420,416,447,443,437,443,478,509,451,455,88.0,290,8,Crvena zvezda,C,3.2142857142857144,0.5711465237625158
Bobby Portis,1626171,MIL,82,1130,466,918,0.508,100,246,0.407,98,124,0.79,104,91,49,33,0.598,2008.1666666666667,142,465,607,68,34,29.0,29,437,177,104,57,66,130,125,136,74,145,147,236,34,20,23,215,74,132,76,82.0,250,8,Arkansas,F,13.78048780487805,0.35729106149887957
Bogdan Bogdanovic,203992,ATL,79,1333,471,1100,0.428,240,641,0.374,151,164,0.921,247,112,35,44,0.443,2401.4083333333333,53,219,272,96,26,31.0,155,528,364,43,56,36,384,6,5,177,89,108,36,176,135,145,90,17,173,50,77.0,225,6,Fenerbahce,G,16.873417721518987,0.13679472809358398
Bojan Bogdanovic,202711,NYK,57,868,309,681,0.454,133,334,0.398,117,149,0.785,97,101,20,37,0.351,1478.0033333333333,22,130,152,30,5,35.0,297,475,422,191,133,121,279,80,91,97,119,121,248,323,251,267,228,263,387,121,79.0,226,9,Fenerbahce,F,15.228070175438596,0.04194848455461309
Bol Bol,1629626,PHX,43,223,93,151,0.616,22,52,0.423,15,19,0.789,17,19,28,15,0.651,469.0283333333333,32,105,137,10,25,24.0,221,168,99,367,313,355,34,310,334,42,382,388,239,269,288,291,426,386,175,329,87.0,220,4,Oregon,C-F,5.186046511627907,0.4615925832483468
Bones Hyland,1630538,LAC,37,256,97,251,0.386,44,135,0.326,18,23,0.783,93,44,20,17,0.541,540.21,5,50,55,26,4,23.0,297,199,275,354,308,280,472,242,241,334,366,374,252,466,379,396,234,287,410,310,74.0,169,2,Virginia Commonwealth,G,6.918918918918919,0.11291904999907443
Bradley Beal,203078,PHX,53,964,377,735,0.513,101,235,0.43,109,134,0.813,265,131,33,20,0.623,1766.7333333333333,54,178,232,52,27,30.0,173,237,135,147,92,107,121,121,150,32,128,137,190,173,188,189,80,135,170,102,76.0,207,11,Florida,G,18.18867924528302,0.25385834496811444
Brandin Podziemski,1641764,GSW,74,682,271,597,0.454,90,234,0.385,50,79,0.633,273,88,41,33,0.554,1968.2533333333333,118,309,427,61,14,21.0,97,437,262,109,157,147,277,139,152,140,243,217,455,49,65,54,77,103,267,166,76.0,205,-1,Santa Clara,G,9.216216216216216,0.37927028363557536
Brandon Boston Jr.,1630527,LAC,32,167,65,161,0.404,14,52,0.269,23,33,0.697,13,24,17,15,0.531,345.1716666666667,19,33,52,11,8,22.0,331,168,285,399,359,341,437,340,334,423,338,337,392,345,413,401,444,377,331,362,78.0,188,2,Kentucky,G,5.21875,-0.023176873343215693
Brandon Clarke,1629634,MEM,6,68,33,59,0.559,1,6,0.167,1,7,0.143,9,3,2,4,0.333,134.31833333333333,13,19,32,5,6,27.0,511,45,432,456,419,436,72,467,467,473,509,455,530,395,452,443,462,444,370,434,80.0,215,4,Gonzaga,F,11.333333333333334,0.2978000024816667
Brandon Ingram,1627742,NOP,64,1332,500,1017,0.492,86,242,0.355,246,307,0.801,363,163,38,26,0.594,2102.68,43,281,324,50,40,26.0,124,332,181,84,45,49,164,146,142,244,41,39,209,214,82,103,39,148,102,51,80.0,190,7,Duke,F,20.8125,0.2689424924382217
Brandon Miller,1641706,CHA,74,1279,476,1083,0.44,184,493,0.373,143,173,0.827,175,132,18,56,0.243,2382.963333333333,60,255,315,66,42,21.0,316,563,491,44,53,40,331,30,29,180,96,101,157,153,96,111,131,82,90,57,79.0,200,-1,Alabama,F,17.283783783783782,0.09442025265460792
Brandon Williams,1630314,DAL,17,54,20,54,0.37,3,15,0.2,11,17,0.647,17,7,10,7,0.588,112.87,4,9,13,1,1,24.0,403,93,191,471,441,440,492,423,420,460,409,397,446,473,492,491,426,509,478,443,73.0,190,1,Arizona,G,3.176470588235294,0.031009125542659697
Braxton Key,1630296,DEN,20,22,7,17,0.412,2,5,0.4,6,8,0.75,9,1,14,6,0.7,59.983333333333334,3,15,18,2,1,27.0,361,80,52,511,512,513,422,440,478,87,437,449,307,487,467,475,462,488,478,503,80.0,225,2,Virginia,F,1.1,0.5584884690191719
Brice Sensabaugh,1641729,UTA,32,241,85,218,0.39,34,115,0.296,37,41,0.902,55,47,8,24,0.25,584.3633333333333,16,86,102,13,6,20.0,423,282,474,339,324,305,468,268,257,387,280,311,51,374,314,334,311,359,370,319,77.0,235,-1,Ohio State,F,7.53125,0.1565806661380762
Brook Lopez,201572,MIL,79,990,366,755,0.485,148,404,0.366,110,134,0.821,127,79,48,31,0.608,2411.1516666666666,117,292,409,43,189,36.0,36,406,160,41,96,103,184,60,57,206,126,137,174,52,76,67,174,183,3,98,85.0,282,15,Stanford,C,12.531645569620252,0.2619080370307135
Bruce Brown,1628971,TOR,67,726,278,582,0.478,53,164,0.323,117,142,0.824,192,86,26,41,0.388,1865.3666666666666,53,231,284,59,17,27.0,241,507,398,131,151,151,202,224,211,339,119,129,164,176,123,130,121,108,240,158,76.0,202,5,Miami,G-F,10.835820895522389,0.24016725934132702
Bruno Fernando,1628981,ATL,45,282,109,187,0.583,0,4,0.0,64,96,0.667,46,44,20,25,0.444,682.3033333333333,59,134,193,25,28,25.0,297,311,359,320,290,328,53,498,487,498,205,188,424,159,246,230,335,293,160,300,81.0,240,4,Maryland,F-C,6.266666666666667,0.43162620730760026
Bryce McGowens,1631121,CHA,59,302,101,230,0.439,34,102,0.333,66,85,0.776,51,30,11,48,0.186,881.595,17,85,102,21,10,21.0,392,539,520,285,302,295,335,268,270,302,201,207,263,366,316,334,321,312,308,289,78.0,175,1,Nebraska,G,5.11864406779661,0.14689284762277463
Buddy Boeheim,1631205,DET,10,34,9,29,0.31,8,25,0.32,8,10,0.8,3,0,0,10,0.0,84.00166666666667,3,7,10,0,1,24.0,560,130,560,486,497,479,532,390,392,344,425,438,212,487,504,501,521,539,478,474,77.0,205,1,Syracuse,F,3.4,0.06547489137120295
Buddy Hield,1627741,PHI,84,1013,371,850,0.436,219,568,0.386,52,59,0.881,236,103,46,38,0.548,2159.8883333333333,61,208,269,70,42,31.0,52,488,266,72,95,77,346,15,15,135,232,253,65,146,150,148,94,66,90,93,76.0,220,7,Oklahoma,G,12.05952380952381,0.1939915103635759
CJ McCollum,203468,NOP,66,1322,484,1055,0.459,239,557,0.429,115,139,0.827,305,110,42,24,0.636,2158.536666666667,39,247,286,62,41,32.0,88,282,108,73,51,45,263,7,17,33,121,131,154,234,101,127,60,100,98,54,75.0,190,10,Lehigh,G,20.03030303030303,0.23071185571706757
Cade Cunningham,1630595,DET,62,1405,524,1167,0.449,119,335,0.355,238,274,0.869,464,212,9,53,0.145,2074.225,33,235,268,56,22,22.0,412,555,541,90,38,31,297,96,89,246,44,51,79,264,115,149,19,119,193,37,78.0,220,2,Oklahoma State,G,22.661290322580644,0.2133326905229664
Caleb Houstan,1631216,ORL,59,253,80,206,0.388,72,193,0.373,21,26,0.808,29,16,31,28,0.525,815.335,28,56,84,15,4,21.0,193,361,292,300,334,312,471,181,186,182,350,359,199,292,362,356,376,348,410,311,80.0,205,1,Michigan,G,4.288135593220339,0.11529003415773884
Caleb Martin,1628997,MIA,64,640,241,559,0.431,81,232,0.349,77,99,0.778,143,77,36,28,0.563,1756.5533333333333,74,207,281,47,29,28.0,146,361,243,151,173,161,370,161,155,263,174,181,259,103,153,134,155,162,155,175,77.0,205,4,Nevada,F,10.0,0.19868454511296746
Cam Reddish,1629629,LAL,48,260,91,234,0.389,37,110,0.336,41,54,0.759,48,31,27,21,0.563,984.0616666666666,27,72,99,47,14,24.0,231,253,243,271,315,289,470,262,264,296,269,268,291,302,336,339,331,162,267,309,79.0,217,4,Duke,F-G,5.416666666666667,0.10365204077657736
Cam Thomas,1630560,BKN,66,1482,526,1190,0.442,144,396,0.364,286,334,0.856,192,124,23,43,0.348,2074.85,28,186,214,45,16,22.0,270,525,425,88,37,28,323,67,59,213,29,31,102,292,176,204,121,173,248,32,75.0,210,2,Louisiana State,G,22.454545454545453,0.021929296093693523
Cam Whitmore,1641715,HOU,47,579,212,467,0.454,79,220,0.359,76,112,0.679,33,46,19,28,0.404,880.3333333333334,44,136,180,30,17,19.0,307,361,384,286,199,191,276,167,165,233,178,162,414,211,242,246,366,263,240,191,79.0,230,-1,Villanova,F,12.319148936170214,0.13574403634986748
Cameron Johnson,1629661,BKN,58,776,276,619,0.446,138,353,0.391,86,109,0.789,138,57,21,37,0.362,1599.0383333333334,55,196,251,49,15,28.0,289,475,416,173,152,140,308,72,80,120,165,167,240,172,165,168,160,154,258,146,80.0,210,4,North Carolina,F,13.379310344827585,0.21981962075122233
Cameron Payne,1626166,PHI,78,578,208,481,0.432,104,267,0.39,58,67,0.866,205,66,46,32,0.59,1304.0766666666666,21,96,117,42,11,29.0,52,425,189,213,202,183,365,114,123,123,217,236,85,331,304,319,108,194,298,192,75.0,183,8,Murray State,G,7.410256410256411,0.20435915066343238
Caris LeVert,1627747,CLE,68,952,345,820,0.421,108,332,0.325,154,201,0.766,346,117,38,30,0.559,1958.0833333333333,39,241,280,76,34,29.0,124,395,253,111,111,87,402,109,97,335,88,82,277,234,111,135,44,42,132,103,78.0,205,7,Michigan,G,14.0,0.2545856917904413
Cason Wallace,1641717,OKC,82,561,217,442,0.491,98,234,0.419,29,37,0.784,120,45,57,25,0.695,1691.9216666666666,52,135,187,76,37,20.0,4,311,60,160,195,199,165,126,152,45,311,320,250,185,245,237,181,42,117,197,75.0,195,-1,Kentucky,G,6.841463414634147,0.20775193493000563
Cedi Osman,1626224,SAS,72,489,184,384,0.479,86,221,0.389,35,52,0.673,119,47,17,55,0.236,1268.7516666666668,25,155,180,36,11,29.0,331,560,497,218,219,217,200,146,164,124,287,276,421,308,212,246,184,230,298,224,79.0,230,6,Anadolu Efes,F,6.791666666666667,0.24591100701345547
Charles Bassey,1629646,SAS,19,63,29,40,0.725,0,1,0.0,5,6,0.833,21,15,3,16,0.158,205.275,23,53,76,8,17,23.0,489,184,536,434,427,456,2,498,524,498,447,460,135,318,373,364,407,407,240,437,82.0,230,2,Western Kentucky,C-F,3.3157894736842106,0.6966264766776276
Charlie Brown Jr.,1629718,NYK,8,6,2,10,0.2,2,7,0.286,0,0,0.0,0,2,2,6,0.25,37.28333333333333,1,1,2,0,2,27.0,511,80,474,534,541,531,552,440,459,402,531,538,531,520,549,546,553,539,451,542,78.0,199,3,St. Joseph's (PA),G,0.75,-0.18775145283862316
Chet Holmgren,1631096,OKC,82,1357,505,953,0.53,129,349,0.37,218,275,0.793,200,131,57,25,0.695,2412.7966666666666,129,519,648,53,190,22.0,4,311,60,40,43,60,102,86,83,197,50,50,232,44,15,17,115,129,2,44,85.0,208,-1,Gonzaga,C-F,16.548780487804876,0.43621578831756785
Chimezie Metu,1629002,DET,51,332,123,244,0.504,28,94,0.298,58,64,0.906,46,52,24,27,0.471,858.9066666666666,41,153,194,43,16,27.0,257,344,342,294,275,283,135,286,274,377,217,243,47,224,215,226,335,183,248,276,82.0,225,5,Southern California,F-C,6.509803921568627,0.3160995373963799
Chris Boucher,1628449,TOR,50,322,110,217,0.507,31,94,0.33,71,92,0.772,23,28,16,34,0.32,704.8833333333333,62,145,207,14,24,31.0,343,446,446,318,289,306,132,278,274,328,192,198,269,140,222,217,400,354,183,280,81.0,200,6,Oregon,F,6.44,0.40645023999243374
Chris Duarte,1630537,SAC,59,230,80,210,0.381,44,127,0.346,26,33,0.788,44,26,35,24,0.593,719.5183333333333,26,80,106,28,8,26.0,155,282,182,315,334,309,480,242,247,274,323,337,242,305,325,332,338,274,331,323,77.0,190,2,Oregon,G,3.8983050847457625,0.16052405428631655
Chris Livingston,1641753,MIL,21,26,11,22,0.5,1,5,0.2,3,4,0.75,5,5,13,8,0.619,90.53333333333333,3,18,21,2,0,20.0,377,110,140,482,482,495,139,467,478,460,470,475,307,487,453,467,488,488,520,491,78.0,220,-1,Kentucky,F,1.2380952380952381,0.28718703976435933
Chris Paul,101108,GSW,58,533,206,467,0.441,78,210,0.371,43,52,0.827,393,76,33,25,0.569,1530.89,18,207,225,70,6,39.0,173,311,229,181,205,191,324,170,172,188,263,276,155,353,153,192,28,66,370,204,72.0,175,18,Wake Forest,G,9.189655172413794,0.45431089105030403
Christian Braun,1631128,DEN,82,600,222,483,0.46,63,164,0.384,93,134,0.694,132,55,57,25,0.695,1655.565,79,227,306,42,35,23.0,4,311,60,167,190,182,259,199,211,143,153,137,394,99,131,118,166,194,128,184,78.0,220,1,Kansas,G,7.317073170731708,0.27120650654006334
Christian Wood,1626174,LAL,50,347,123,264,0.466,35,114,0.307,66,94,0.702,49,50,28,22,0.56,871.9433333333334,39,215,254,16,33,28.0,221,262,250,290,275,276,229,267,259,365,201,192,385,234,139,163,328,341,137,272,80.0,214,7,UNLV,F,6.94,0.3819055519662975
Chuma Okeke,1629643,ORL,47,107,40,112,0.357,23,82,0.28,4,7,0.571,20,16,24,23,0.511,431.73,18,62,80,9,7,25.0,257,272,298,376,399,382,507,307,292,411,459,455,479,353,353,360,414,398,343,403,79.0,229,3,Auburn,F,2.276595744680851,0.17951034211196812
Clint Capela,203991,ATL,73,836,353,618,0.571,0,1,0.0,130,206,0.631,91,74,33,40,0.452,1883.0866666666666,335,441,776,43,106,30.0,173,501,356,128,105,141,64,498,524,498,105,76,456,1,26,9,239,183,11,135,82.0,256,9,Elan Chalon,C,11.452054794520548,0.5878646052757353
Coby White,1629632,CHI,79,1509,541,1209,0.447,209,556,0.376,218,260,0.838,405,166,37,42,0.468,2881.3566666666666,44,314,358,53,18,24.0,139,515,346,3,31,27,300,20,18,164,50,57,127,211,62,87,26,129,228,29,77.0,195,4,North Carolina,G,19.10126582278481,0.2011205369692749
Cody Martin,1628998,CHA,28,211,82,215,0.381,27,86,0.314,20,33,0.606,104,44,7,21,0.25,752.9916666666667,19,90,109,32,18,28.0,440,253,474,308,329,307,479,291,288,353,355,337,465,345,309,329,215,256,228,337,78.0,205,4,Nevada,F,7.535714285714286,0.22908620059982956
